id,calm,energetic,happy,sad,name,artists,album,release_date,popularity
2oDohCMDD3ARBIPX28WTs3,0.05737044,0.03708324,0.06854988,0.8369965,שעה חלפה, Yuval Dayan,ליבי ער,2016,31
2Z9Ioyo3QCKc6KoWDDw910,0.01239102,0.36629745,0.38928023,0.23203135,אם את הולכת, Avraham Tal,אורות,2010-06-29,35
4vNdwNZkhDhGRBVjV18l2y,0.00566206,0.4479378,0.4039795,0.14242056,בפרדסים של גן עדן, Hatikva 6,כל יום מחדש,2010-01-01,25
5M1tQpTNNZ13M79JX8eCVo,0.00289041,0.5595238,0.38837796,0.04920782,פרא, Kfir Tsafrir Nitan Ben Ari,פרא,2019-12-22,19
5D1e4DzsS71lMhR0s4uzvb,0.00445297,0.49938375,0.4087349,0.08742838,Hofshia, Katrix and Doron Beaton,Hofshia,2016-09-11,34
2uADpWJYHkWOuUk3jvrUHK,0.00280676,0.55655026,0.39007467,0.05056838,סטפן לגר (היהודי), Dudu Faruk,ששש...,2021-08-30,34
25FDEuBLoTNV7CujVjMw18,0.00558966,0.4741428,0.4174143,0.10285319,ימים של קיץ, Elai Botner Kfir Ben Laish,עילי בוטנר,2010,41
6zKZZueJvTYEqtJdKuhmXo,0.00281939,0.5327731,0.40188307,0.06252448,תיזהר ממנה, Subliminal Lior Farhi,היצירה שלי,2012-04-01,25
1aEt9Gvu6cJSQ01GqxzQGt,0.01111557,0.3822806,0.38805896,0.21854483,על אמת, מכלוף,על אמת,2021-01-20,17
7mshgFLuZ5Vbz8b1ejJvgp,0.02558923,0.21111718,0.2381561,0.5251375,סוויש, Nati Hassid טוכטי שלומי אלון,להיטי הזהב,2020-08-16,3
5sVK357IC0iPrqhM56MjsS,0.00489564,0.4718024,0.40448457,0.11881744,פרח השכונות, Teapacks Alma Zack,רדיו / מוסיקה / עברית,2006-01-01,42
5K2mab6uE9XyzAGUQjOY0H,0.0026697,0.55115736,0.39307097,0.05310198,מה שהיא רוצה, Katrix and Doron Beaton Peleg N' Elon,מה שהיא רוצה,2016-03-21,27
0LfkiS8zu6IZJyPvQgSdCT,0.01816873,0.30817303,0.338979,0.3346792,מהצוואר שלך, Mooki,מהצוואר שלך,2018-11-05,39
