song_id,mood_vec,song_name,song_artists
3vv9phIu6Y1vX3jcqaGz5Z,[0.00597408 0.4835023  0.40498102 0.10554265],Roses, The Chainsmokers ROZES
2fTsFCKRFQ5M0igJgabnLA,[0.00101211 0.6094069  0.36012992 0.02945102],Price Tag, Jessie J B.o.B
2HSmyk2qMN8WQjuGhaQgCk,[0.02680397 0.17380063 0.20543747 0.5939579 ],Champagne Poetry, Drake
0u2P5u6lvoDfwTYjAADbn4,[0.06711572 0.01075564 0.02378542 0.89834315],lovely (with Khalid), Billie Eilish Khalid
6lzc0Al0zfZOIFsFvBS1ki,[0.00643028 0.43351105 0.40124777 0.15881082],State Of Grace (Taylor's Version), Taylor Swift
7s3VamLgN0rvQ0W0FlDST8,[0.05708986 0.03692441 0.06673121 0.8392545 ],Train Wreck, James Arthur
39glqzRVRAy4vq3PqeTGb8,[0.01727675 0.29643515 0.34178677 0.34450135],Love Is Gone, SLANDER Dylan Matthew
0heE5tAAaDQmnGhVDImPl2,[0.01980931 0.267477   0.31108645 0.40162727],Dynasty, MIIA
44n97yHySt0Z9rqPaXgjCK,[0.0656959  0.01281585 0.02871308 0.89277524],Sorry, Halsey
4nVBt6MZDDP6tRVdQTgxJg,[0.01599044 0.31471378 0.34233806 0.3269577 ],Story of My Life, One Direction
3umgWkMmr9yrPZTlzZJWz7,[0.02068352 0.33944747 0.359556   0.28031304],so sick of love, Sad Puppy Rafael G Izabel
4y4spB9m0Q6026KfkAvy9Q,[0.07795831 0.01607296 0.03431328 0.87165546],Lonely (with benny blanco), Justin Bieber benny blanco
3di5hcvxxciiqwMH1jarhY,[0.0073867  0.43021026 0.40814018 0.15426286],Set Fire to the Rain, Adele
2qV4oFPfGjIH4bg9L8mjkJ,[0.00541143 0.47384977 0.40451178 0.11622698],Good Die Young, Molly Kate Kestner
0OI7AFifLSoGzpb8bdBLLV,[0.00579862 0.4909989  0.4104179  0.0927846 ],"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)", Machine Gun Kelly X Ambassadors Bebe Rexha
4RVwu0g32PAqgUiJoXsdF8,[0.05369541 0.01454133 0.03192903 0.8998343 ],Happier Than Ever, Billie Eilish
19JT7Qed2VQJM5w1ntLEEj,[0.15182659 0.01552939 0.03423186 0.7984122 ],This Is What 21 Feels Like, Sophie Rose
52iLDrSoRtf9lcgFuLVfqE,[0.07236775 0.02687532 0.05386761 0.8468893 ],Older, Sasha Alex Sloan
5vjLSffimiIP26QG5WcN2K,[0.04152419 0.12487075 0.18134062 0.6522644 ],Hold On, Chord Overstreet
0GNI8K3VATWBABQFAzBAYe,[0.05723897 0.01109093 0.02449418 0.90717596],Stay, Rihanna Mikky Ekko
4WahOhXKxmMKVnfVXQoEtk,[0.00566984 0.49564534 0.40590826 0.09277657],Remedy, Ali Gatie
2CvOqDpQIMw69cCzWqr5yr,[0.01888057 0.29527533 0.33470798 0.35113618],Halo, Beyoncé
222B3aljXx6fFwKmFjuBED,[0.00628666 0.45634893 0.41154176 0.1258226 ],Woman Like Me (feat. Nicki Minaj), Little Mix Nicki Minaj
7a53HqqArd4b9NF4XAmlbI,[0.00505033 0.4864277  0.41203266 0.09648928],Kings & Queens, Ava Max
3hlksXnvbKogFdPbpO9vel,[0.0021396  0.5867598  0.36592555 0.045175  ],Super Bass, Nicki Minaj
2K87XMYnUMqLcX3zvtAF4G,[0.00586869 0.4573766  0.41102463 0.12573008],Drag Me Down, One Direction
1HNkqx9Ahdgi1Ixy2xkKkL,[0.04779726 0.05583338 0.09583601 0.80053335],Photograph, Ed Sheeran
08bNPGLD8AhKpnnERrAc6G,[0.00840819 0.4330646  0.39385542 0.16467178],FRIENDS, Marshmello Anne-Marie
1beqtQO0aIc1dWsXr97Iji,[0.0062685  0.46449625 0.38377532 0.14545992],Let You Go, Machine Gun Kelly
5oO3drDxtziYU2H1X23ZIp,[0.00647303 0.432285   0.39616668 0.16507523],Love On The Brain, Rihanna
1i1fxkWeaMmKEB4T7zqbzK,[0.00339    0.5246073  0.38927862 0.08272409],Don't Let Me Down, The Chainsmokers Daya
6mQLN3zRtAp6ovjusyYKrV,[0.00679606 0.46268666 0.3891981  0.1413192 ],Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur Anne-Marie
