id,calm,energetic,happy,sad,name,artists,album,release_date,popularity
0SiywuOBRcynK0uKGWdCnn,0.00268922,0.51415694,0.40839493,0.07475887,Bad Romance, Lady Gaga,The Fame Monster (Deluxe Edition),2009-11-05,84
4JehYebiI9JE8sR8MisGVb,0.01947955,0.28540155,0.32982418,0.3652947,Halo, Beyoncé,I AM...SASHA FIERCE,2008-11-17,80
64yrDBpcdwEdNY9loyEGbX,0.00392662,0.50126773,0.38178784,0.1130179,21 Guns, Green Day,21st Century Breakdown,2009-05-15,78
5x5JM1BSB6vollcIzDocqT,0.00945932,0.38957167,0.3820991,0.21886986,The Climb, Miley Cyrus,The Time Of Our Lives (International Version),2009-01-01,76
7jk7gqyEonmVVYahZN5zhW,0.00545151,0.46792963,0.41491765,0.11170124,Circus, Britney Spears,Circus (Deluxe Version),2008-12-02,78
5XRHGXut00SrJUFmcn2lQF,0.00476617,0.4830312,0.38612312,0.12607947,All The Right Moves, OneRepublic,Waking Up,2009-01-01,68
3oDFtOhcN08qeDPAK6MEQG,0.00536604,0.4695739,0.40127057,0.12378953,Boom Boom Pow, Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,72
0CINJz55gaKzuAsqhZ0hEU,0.0032039,0.5186188,0.40521735,0.0729599,Waking Up In Vegas, Katy Perry,One Of The Boys,2008-06-17,53
5sra5UY6sD658OabHL3QtI,0.05850645,0.02803858,0.05346984,0.8599851,Empire State of Mind (Part II) Broken Down, Alicia Keys,The Element Of Freedom,2009-12-15,76
3DamFFqW32WihKkTVlwTYQ,0.00440215,0.475087,0.40548235,0.11502854,Fireflies, Owl City,Ocean Eyes,2009-01-01,82
0eH2eHURaXUP15D8gQlfjx,0.00276448,0.5434737,0.3968452,0.05691661,LoveGame, Lady Gaga,The Fame,2008-01-01,68
6Wx88Mv6b9ofjKMKkdwOJd,0.00601542,0.44926208,0.40281636,0.1419062,New Divide, Linkin Park,Transformers: Revenge Of The Fallen The Album,2009-06-12,73
4kLLWz7srcuLKA7Et40PQR,0.0036061,0.5119384,0.39698392,0.08747155,I Gotta Feeling, Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,83
0wruS6JEQCGeYrvsCIdG0Z,0.00197885,0.5887679,0.36764908,0.04160424,Right Round (feat. Ke$ha), Flo Rida Kesha,Right Round,2009-02-09,60
3rMsX63C0IZVnOT5LGYoTH,0.01904528,0.31590384,0.364043,0.3010079,Russian Roulette, Rihanna,Rated R,2009-11-20,68
02XnQdf7sipaKBBHixz3Zp,0.00876576,0.41829783,0.3995251,0.17341134,Paparazzi, Lady Gaga,The Fame,2008-01-01,73
0juMU08O9byWiRBtKM1j5E,0.0344732888042926,0.1781426668167114,0.2346744835376739,0.5527095198631287,Circle of Life/Nants' Ingonyama, Lindiwe Mkhize Lebo M.,The Lion King (Original Motion Picture Soundtrack),2019-07-11,58
0i0wnv9UoFdZ5MfuFGQzMy,0.0182981994003057,0.3437295258045196,0.3719868659973144,0.2659854590892792,Last Hurrah, Bebe Rexha,Last Hurrah,2019-02-15,68
04ZTP5KsCypmtCmQg5tH9R,0.0112012000754475,0.4050184786319732,0.4035462141036987,0.1802341789007187,I'm a Mess, Bebe Rexha,Expectations,2018-06-22,78
25sgk305KZfyuqVBQIahim,0.0042396602220833,0.4959301650524139,0.4104193747043609,0.0894108563661575,Sweet but Psycho, Ava Max,Sweet but Psycho,2018-08-17,12
2aIRGUqHrX1cIEMSC2DFbr,0.0126250395551323,0.3557010889053345,0.3593854904174804,0.2722883820533752,ואולי, Shlomo Artzi,קצפת,2016-03-29,0
5YScXJKtefsgdskIy60N7A,0.0016783400205895,0.567206084728241,0.3742391169071197,0.0568764209747314,Tubthumping, Chumbawamba,Tubthumper,1997-01-01,65
7aSvPfoqiM0zwPqupLGaHd,0.0081966798752546,0.415505051612854,0.4045221209526062,0.17177614569664,BOY, Charlie Puth,Voicenotes,2018-05-11,60
2xsqrpB5uKX0wNbsv4UFwt,0.0037408699281513,0.5145975947380066,0.4086576700210571,0.0730038806796073,אה אה אה, Efrat Gosh,אה אה אה אהבה,2010-07-21,0
6s3GEN8wK0OMzzzZbXj0fu,0.0052038198336958,0.4846147298812866,0.4083712100982666,0.101810298860073,Hymn for the Weekend - Seeb Remix, Coldplay Seeb,Hymn for the Weekend (Seeb Remix),2016-03-25,70
1CkvWZme3pRgbzaxZnTl5X,0.0089269299060106,0.4098857939243316,0.4008963108062744,0.180290937423706,Rolling in the Deep, Adele,21,2011-01-19,4
5ghIJDpPoe3CfHMGu71E6T,0.0029128899332135,0.5100994110107422,0.4073888659477234,0.0795988366007804,Smells Like Teen Spirit, Nirvana,Nevermind (Remastered),1991-09-26,81
0Ov4x4mro5sTaBlzlDuXYg,0.0041844900697469,0.5092167258262634,0.398650199174881,0.0879485681653022,I Am Above, In Flames,I Am Above,2018-12-14,27
2kDH08boXJyhKMl5hnZbrE,0.0176405198872089,0.3010973930358886,0.3545830845832824,0.3266790509223938,Love of a Lifetime, Firehouse,Firehouse,1990-09-01,64
1CwNogTShsnsn1C8UhRmYX,0.0096434904262423,0.4158903062343597,0.407142162322998,0.1673240661621093,Rise, Katy Perry,Rise,2016-07-15,67
4dASQiO1Eoo3RJvt74FtXB,0.0010126399574801,0.6272696852684021,0.3428009748458862,0.0289166904985904,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)", Lil Wayne Wiz Khalifa Imagine Dragons X Ambassadors Logic Ty Dolla $ign,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),2016-06-24,79
5wj4E6IsrVtn8IBJQOd0Cl,0.0027371400501579,0.5246321558952332,0.393231987953186,0.0793987289071083,Wonderwall - Remastered, Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],1995-10-02,8
07rhyW77lp2bGv8EQoZy6k,0.024961169809103,0.1580647975206375,0.2127805948257446,0.604193389415741,We Are the World 25 for Haiti, Artists for Haiti,We Are the World 25 for Haiti - Single,2010-03-02,53
2SPEg45ZaUFJCg9GwNmRvw,0.0229244492948055,0.2405657768249511,0.2927261590957641,0.443783551454544,None Of My Business, Cher Lloyd,None Of My Business,2018-10-19,68
4GSjFSK1SM78wPTVbsSB0S,0.0038955400232225,0.5343881249427795,0.3892812728881836,0.0724350288510322,The Reckoning, Within Temptation Jacoby Shaddix,The Reckoning,2018-09-14,58
0DOe3Bfu8BJkBY9TaVLqG7,0.0061221201904118,0.4672196507453918,0.4036569595336914,0.1230012997984886,God is a woman, Ariana Grande,God is a woman,2018-07-13,0
4pWb8UZ6IPVJA3CPjCNgzq,0.0081509798765182,0.4507836103439331,0.3994984924793243,0.1415669471025467,Coming Home, Keith Urban Julia Michaels,Graffiti U,2018-04-27,56
37f4ITSlgPX81ad2EvmVQr,0.0034627499990165,0.5155042409896851,0.3956901729106903,0.0853427574038505,Fight Song, Rachel Platten,Wildfire,2016-01-01,80
1var9mNP1RLTlu8qVDji0F,0.0110232299193739,0.3831106722354889,0.3819488286972046,0.2239172458648681,Till I Found You, Phil Wickham,Till I Found You,2018-04-27,46
0PGLRTN0X6DrXh645WJCIY,0.0033004500437527,0.5217933654785156,0.4057345688343048,0.0691716596484184,I Really Like You, Carly Rae Jepsen,Emotion,2015-08-21,58
41dykwc7XRMk44xgg8hykQ,0.0148551296442747,0.3581002652645111,0.3956330716609955,0.2314115017652511,Ferrari, Bebe Rexha,Expectations,2018-04-13,0
